,alpha_gluon,beta_gluon,alpha_up,beta_up,epsilon_up,gamma_up,alpha_down,beta_down,epsilon_down,gamma_down,norm_sigma,alpha_sigma,beta_sigma
0,1.64400e+00,1.05090e-01,1.81609e+00,3.33434e+00,1.30059e+00,1.08568e+00,2.77933e+00,2.69227e+00,2.27923e+00,8.08267e-01,1.69879e+00,5.78635e-02,6.14539e-01
1,1.27675e+00,1.57748e-01,2.77653e+00,1.78560e+00,3.29484e+00,2.33841e+00,6.96434e-01,2.31171e+00,3.21042e+00,2.55851e+00,5.87290e-01,8.68482e-01,5.46073e-02
2,1.40184e+00,1.23001e-01,2.66914e+00,5.08567e-01,1.53972e+00,1.26286e+00,1.82526e+00,1.53127e+00,1.78680e+00,2.70332e+00,9.59985e-01,2.45188e+00,2.44621e+00
3,1.41966e+00,9.60702e-02,2.33869e+00,3.17339e+00,1.99882e+00,2.64760e+00,1.08372e+00,2.61198e+00,1.24130e+00,1.76725e+00,2.92735e+00,1.72389e+00,6.31372e-01
4,1.33141e+00,9.18918e-02,6.79150e-01,2.53425e+00,8.70862e-02,2.75643e+00,2.28738e+00,1.05803e+00,2.01345e+00,1.64608e+00,3.04005e+00,2.73702e-01,3.17873e+00
5,1.16117e+00,1.41347e-01,3.71656e-01,3.24461e+00,6.51214e-01,2.28539e+00,7.12630e-01,2.19907e+00,2.66784e+00,1.72230e+00,6.73723e-02,2.22973e+00,2.97062e+00
6,1.04728e+00,1.91122e-01,1.47447e+00,9.64129e-01,1.96029e+00,2.54044e+00,1.36122e+00,2.16921e+00,7.15211e-01,2.02353e+00,2.86341e+00,1.91130e+00,1.46772e+00
7,1.32051e+00,1.15416e-01,2.40792e+00,2.50710e+00,5.27019e-01,2.13168e+00,1.49936e+00,1.61511e+00,1.96193e+00,5.48706e-01,1.16327e+00,2.69455e+00,1.10456e+00
8,1.42476e+00,9.99520e-02,1.27456e+00,2.77481e+00,1.64170e+00,1.58411e+00,2.49836e+00,3.00563e+00,3.24475e+00,5.51325e-01,1.36359e+00,1.11564e+00,1.79479e+00
9,1.37670e+00,1.41566e-01,1.38285e+00,2.36900e+00,1.39939e-02,9.80056e-01,3.29949e+00,2.11883e-01,2.38893e+00,3.02018e-01,3.19846e+00,8.40975e-01,5.87902e-01
