alpha_gluon beta_gluon alpha_up beta_up epsilon_up gamma_up alpha_down beta_down epsilon_down gamma_down norm_sigma alpha_sigma beta_sigma
1.644004426052726231e+00 1.050897275978002199e-01 1.816092881441267570e+00 3.334337494077365349e+00 1.300593069598195095e+00 1.085677460174270026e+00 2.779328008211483514e+00 2.692267588853250349e+00 2.279231371178084498e+00 8.082666406648758572e-01 1.698794288905659755e+00 5.786346454485564311e-02 6.145387993429048956e-01
1.276751122618969170e+00 1.577479168897287232e-01 2.776529643795203395e+00 1.785604620389106945e+00 3.294836076744775966e+00 2.338414228445452991e+00 6.964337687115192965e-01 2.311705724018493502e+00 3.210424486284274792e+00 2.558511017263823017e+00 5.872899870986372228e-01 8.684822616534539907e-01 5.460733171015179355e-02
1.401837734103441591e+00 1.230014842694382576e-01 2.669140842628424437e+00 5.085666829539787770e-01 1.539718997082375473e+00 1.262862851193887526e+00 1.825256071441704764e+00 1.531268288050770643e+00 1.786795217355763521e+00 2.703321471658759023e+00 9.599854222932329151e-01 2.451880793033902162e+00 2.446205351491336000e+00
1.419663044344067870e+00 9.607016908825570523e-02 2.338689349089828173e+00 3.173390507380207115e+00 1.998818628291807453e+00 2.647604731852861271e+00 1.083718830028375102e+00 2.611977497804168102e+00 1.241295744127320688e+00 1.767249334872078359e+00 2.927351055770600396e+00 1.723894914253557786e+00 6.313717466430739389e-01
1.331409515922897357e+00 9.189180546031071317e-02 6.791503095363498055e-01 2.534250726287842870e+00 8.708620246781133278e-02 2.756430556395184972e+00 2.287382466319624275e+00 1.058034144378831032e+00 2.013454966577589822e+00 1.646079997448100185e+00 3.040051397570354030e+00 2.737022506201761685e-01 3.178729122907867133e+00
1.161174648277944144e+00 1.413471202401475058e-01 3.716559998404994070e-01 3.244605360511016556e+00 6.512138678891398191e-01 2.285394566903371061e+00 7.126298605288067245e-01 2.199068880614510224e+00 2.667835098372817182e+00 1.722302441192064215e+00 6.737227977295921766e-02 2.229734127417681400e+00 2.970621135451190664e+00
1.047284930576437789e+00 1.911217965313583567e-01 1.474471869629660370e+00 9.641289183529663243e-01 1.960287105394319385e+00 2.540437320848219382e+00 1.361215329473057345e+00 2.169209838823924485e+00 7.152105912218368333e-01 2.023525653531031754e+00 2.863410018180336358e+00 1.911300792677795179e+00 1.467722729794910697e+00
1.320513981195862385e+00 1.154156428541208146e-01 2.407915510794580438e+00 2.507103067654911754e+00 5.270190412041881878e-01 2.131683507678061584e+00 1.499362008296052595e+00 1.615107891928842632e+00 1.961927193896336297e+00 5.487058948005225645e-01 1.163270818091797665e+00 2.694552390862685165e+00 1.104559169346629899e+00
1.424759298843025768e+00 9.995198244190842130e-02 1.274564971757173426e+00 2.774811334177409439e+00 1.641699771211956982e+00 1.584106416023477015e+00 2.498355248865994582e+00 3.005629265901785363e+00 3.244752372573560972e+00 5.513249484791220567e-01 1.363588670298608418e+00 1.115644832888910365e+00 1.794790595335133965e+00
1.376695934096600737e+00 1.415657008122555016e-01 1.382846100600332084e+00 2.369001068525733888e+00 1.399387558240294815e-02 9.800556451550587189e-01 3.299492295765426686e+00 2.118834494043294325e-01 2.388932859003686460e+00 3.020175946259252564e-01 3.198461918992672182e+00 8.409746527528062510e-01 5.879021637530761346e-01
