logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.246297970210159747e+02 -5.306225113077073274e+02 1.935000000000000053e+00
-5.306225113077073274e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.560298123123984624e+02 -4.620250265990897560e+02 7.800000000000000266e-01
-4.620250265990897560e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.545435086715498869e+02 -4.605412229582411783e+02 1.770000000000000018e+00
-4.603368354216312355e+02 1.959832522049801540e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -4.356143036809643263e+02 -4.416145179676556154e+02 5.200000000000000178e-01
-4.416145179602595476e+02 8.851664528168239343e+00 -1.000000000000000021e-02 4.000000000000000000e+02 -4.332552487820768761e+02 -4.392579630687681629e+02 7.800000000000000266e-01
-4.391674406300352871e+02 7.741386687604867589e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -4.315136709615446193e+02 -4.375188852482359607e+02 1.614999999999999991e+00
-4.373429779288274517e+02 8.063066861876894365e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -4.286098118733434035e+02 -4.346175261600347426e+02 3.499999999999999778e-01
-4.345540664102396136e+02 1.332070436852991424e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -4.284647560013175394e+02 -4.344749702880088762e+02 1.449999999999999956e+00
-4.338205893477644395e+02 7.072301451983286080e-01 -2.000000000000000042e-02 4.000000000000000000e+02 -4.275772861435789309e+02 -4.335900004302702655e+02 1.530000000000000027e+00
-4.330055159752668601e+02 5.508962932838848969e-01 -2.249999999999999917e-02 4.000000000000000000e+02 -4.259121665357428128e+02 -4.319273808224341451e+02 1.784999999999999920e+00
-4.316345400214349297e+02 9.084524515165373071e-01 -2.499999999999999792e-02 4.000000000000000000e+02 -4.214047008598257662e+02 -4.274224151465170962e+02 2.250000000000000056e-01
-4.274077089593761229e+02 2.250489094865710804e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -4.209503776571319804e+02 -4.269705919438233082e+02 1.524999999999999911e+00
