weight logl alpha_gluon beta_gluon alpha_up beta_up epsilon_up gamma_up alpha_down beta_down epsilon_down gamma_down norm_sigma alpha_sigma beta_sigma
9.041975839003416244e-110 -5.246297970210159747e+02 1.761224614938749914e-03 2.565525398060697904e-01 3.340613004280550413e+00 3.103422530891103648e+00 5.490249885915085004e-01 1.954787445514495348e+00 6.772767285229969181e-01 6.515946941776951107e-01 2.511340743937336417e-01 2.993473369195495337e+00 1.491792969440453254e+00 1.762208417727298304e+00 1.820545478758269997e+00
5.594643575252258740e-80 -4.560298123123984624e+02 2.243046943983086766e-02 7.422344176765834911e-01 5.088009598792138100e-01 3.364042717258701742e+00 3.542140080958673942e-01 6.155664687597959400e-02 4.673719816245435199e-01 1.342456526767154434e+00 1.236675479234721431e+00 3.319539894471224439e+00 1.500659611673789584e+00 1.874233255182485625e+00 1.022687869575652497e+00
2.467062529095438092e-79 -4.545435086715498869e+02 4.871440065429703814e-02 5.562288306032440177e-01 2.709331900351234612e+00 1.954211555192791661e+00 6.273091817424009120e-01 2.945626859759259197e+00 9.628017741052827261e-02 2.157254493906176851e+00 1.670594658081766826e-01 1.649954976852871180e+00 1.207210143289648846e-01 1.876140172800157435e+00 2.556080513887583727e+00
4.092076038160238105e-71 -4.356143036809643263e+02 1.082609785708632533e-01 4.324416648324958534e-01 2.469900026884252586e+00 1.696009778990085648e+00 2.798649589732640219e+00 1.563491632023060962e+00 1.130817799869452633e+00 1.560545052664299881e+00 1.563848156720384797e+00 1.188457340706754017e+00 7.787598543859020062e-01 1.107668334975699942e+00 1.797944385702199499e+00
4.318992839026940191e-70 -4.332552487820768761e+02 4.678383426576173537e-02 1.238884366712035501e+00 3.321890017635240611e+00 2.114254259000483138e+00 2.527629792871184389e+00 2.730369225124908095e+00 2.496867643133135140e+00 7.975231165208238604e-01 2.236370714228788970e+00 3.805535051971036808e-01 1.304257776868324559e+00 4.755614381858634665e-02 1.905005767609517342e+00
2.458410403146645591e-69 -4.315136709615446193e+02 1.645392701926645662e-01 2.407417992867369183e-01 3.393924566279199695e+00 2.276700037098641882e+00 3.036483218000735285e+00 3.062189194882772636e+00 2.267159254620887854e+00 1.549622783433860729e+00 5.953454290141027005e-01 1.844367470188331470e+00 3.043755119205137749e+00 6.730460507803111003e-01 1.737431612336131304e+00
4.474027271968103343e-68 -4.286098118733434035e+02 1.334912049785017506e-02 2.102075990414438600e+00 1.183529949062406050e+00 1.812147452352335320e+00 1.455424165647345169e-01 1.719691481404131084e+00 3.101313892518738236e+00 2.811608613375320864e+00 2.128185173786273143e+00 7.177894415108555526e-01 2.046216867340318046e+00 2.150340005926938858e+00 1.506732509632607409e+00
5.159526598107807275e-68 -4.284647560013175394e+02 8.482710485345709706e-02 8.183369701586163947e-01 4.385709717883634617e-02 2.537476550470032066e+00 6.003603847303393692e-01 1.355327941433280559e-01 3.616875659012839805e-01 3.967612864820350693e-01 1.721283309065799738e-01 2.852665537276500629e+00 1.014930067669889135e+00 1.046988217198041804e+00 2.344171921357228072e+00
1.250107559830240377e-67 -4.275772861435789309e+02 6.668445076223243617e-02 1.251979425229166276e+00 1.300936277460712942e+00 2.828382921030589969e+00 2.296822552071848822e+00 2.981661561577774400e+00 2.460839904229882968e+00 2.253339130561053671e-01 1.345653911314254270e+00 9.938694745141857245e-01 3.055948281967979518e+00 2.082277463243213500e+00 1.093012796478633808e+00
6.591949971560146472e-67 -4.259121665357428128e+02 5.625133481407460639e-02 1.636707301491727051e+00 3.261921714914968740e-01 1.690841530870395903e+00 2.851907330567774679e+00 3.050933075141991857e+00 2.490811166221662099e+00 2.579662837645971596e+00 1.906234421775670373e+00 1.603024953002675002e+00 4.718116004589179013e-01 3.211678532653006735e-01 3.203671551372379689e+00
5.963423287251857221e-65 -4.214047008598257662e+02 8.250051348645394411e-02 1.522001550304296069e+00 2.840852292169298021e+00 3.052089617850380243e+00 1.261838858437596134e+00 7.079094892627273428e-01 2.807343070060631440e+00 3.076538694506871785e+00 2.491695831188265320e+00 3.064624012379502993e+00 3.345144612047540877e-01 3.241915309978010029e+00 1.768191639646067737e+00
9.369576482620383749e-65 -4.209503776571319804e+02 1.759114736769353676e-02 2.755089785588265450e+00 2.039152966631080588e+00 1.878287579041204858e-01 1.716253308249920062e+00 2.992714823365080434e+00 2.281303851879580957e+00 2.767025487075344348e+00 2.827174269718486954e+00 1.065880653244466502e-03 1.933654090469507425e+00 2.807043496901936663e+00 1.989770643839847253e+00
2.795317331599741949e-64 -4.198548148244548202e+02 8.629399623369597705e-02 1.645872574800151034e+00 2.591334917973764806e+00 2.487486747619473970e+00 3.143469481733828896e+00 9.562798633851968821e-01 2.702010689130504684e+00 1.502664875648331844e+00 2.982520956898034648e+00 1.126566433199940098e+00 2.053628409459428372e+00 1.144478561355837032e+00 2.345258465154053340e+00
1.199105959087996436e-63 -4.183960991220544656e+02 6.326160577738511315e-02 2.405119890004865812e+00 9.496616138472205870e-01 2.386328497717475017e+00 1.221921543118233755e+00 2.407761863893719934e+00 7.070225632728701637e-01 3.278619724423752935e+00 3.321509033983935044e+00 8.504366454237599626e-01 3.537706266686015399e-01 1.089525490283678621e+00 3.046691825220666505e+00
2.672663154893299044e-61 -4.129869297694984311e+02 6.454604910726546851e-02 3.340306253316349228e+00 9.363027534001400198e-01 2.454698709181207583e+00 2.438816206937428621e+00 3.246024499200995894e+00 3.023949586094536901e+00 8.049036658171794256e-01 1.496645164566511088e+00 2.877202910800476854e+00 2.508677155597371478e+00 2.943966208045216248e+00 2.534907099264366082e+00
3.517740455260436974e-59 -4.081045161277286297e+02 1.552844979818922277e-01 1.670061762877142586e+00 2.886389664618594697e+00 3.311432888469306945e+00 9.739624256453373041e-01 4.215320015302159717e-02 2.882724947146091399e-01 8.669867061329451507e-01 3.128236758914141546e+00 1.410327808764207935e+00 2.634319534029710308e+00 3.050319254761677534e+00 4.617916964403388502e-01
9.467147945976053303e-59 -4.071120073005326390e+02 1.671303627787988078e-01 3.298252952427732865e+00 1.903293815787989951e+00 1.904733486528309205e+00 4.352960715703007577e-01 2.010764646614074280e+00 3.226267769327927137e+00 1.358392516715244414e+00 1.980933311120536722e+00 2.204643362277427077e+00 2.282918761026112797e+00 1.932667065449958921e+00 2.832716112884709148e+00
1.195371638027971502e-57 -4.045737076779145127e+02 2.194599915215074415e-01 3.103011679653331800e+00 1.726453143661327294e+00 2.502230004283878095e+00 3.077147096694858419e+00 2.301842248564631266e+00 2.990767432748012045e+00 1.950555333621920018e-01 3.057336875572853607e+00 3.261541858130974081e+00 1.204941909161439728e+00 2.518958160443558025e+00 2.348185441898183345e+00
1.412568387130034251e-57 -4.044042552105812547e+02 1.894355557416975422e-01 1.920087001569122265e+00 1.127381409979091975e+00 1.898143951705802968e+00 9.750446594303072145e-02 1.691028085955896154e+00 5.650281456417802772e-01 7.098962271157817083e-01 1.529074090172494849e+00 2.191814279896682649e+00 8.247198830886407483e-01 3.356640187234160688e+00 2.811435312367106309e+00
2.459782734426837560e-57 -4.038470917824097910e+02 2.399112428845583678e-01 3.268773772321845961e+00 2.826098483286712870e+00 1.176195058002327487e+00 2.041648090249942094e+00 2.736293703926378829e+00 2.867027672402075567e+00 1.294957706643647677e-01 3.580943377729563504e-01 3.396357924181344856e+00 3.344322779106914667e-01 3.231828894992287537e+00 3.381163222484423692e+00
2.836767900654123236e-57 -4.037019994681774619e+02 2.453069309792104968e-01 3.326407057988835181e+00 1.880099439473902345e+00 3.124010321595007689e+00 2.400801601447314582e+00 2.080424838752862993e+00 1.346241265718319147e+00 1.790339257239182968e-01 2.661392784161722869e+00 4.756840757457649893e-01 3.107101116942020180e+00 3.142995570753771339e+00 1.261314207778651442e+00
3.940745980956072201e-57 -4.033707947684587793e+02 1.935726999729910081e-01 3.836773853342055340e-01 2.294930517762158839e+00 3.241912993525516207e+00 3.330419317275139068e+00 3.348301423460481097e+00 3.797125737386465860e-01 1.401514705983575748e+00 3.304636889303578684e+00 1.059956754685350333e+00 1.510055881525143917e+00 3.364446254863012520e+00 1.769538451503220589e-01
5.401757735168862599e-57 -4.030529404019977733e+02 2.042889502740569130e-01 1.982634727347818870e+00 2.288907232988836693e+00 1.675254643984075420e+00 8.571406790765653261e-01 1.173755288673209440e+00 2.315806706647265845e+00 1.113477907084431173e+00 1.285117423789287727e+00 8.508906431086202815e-01 2.198890104178518268e+00 2.163895942409216067e-01 1.274545283162046738e+00
6.635868750404588357e-57 -4.028446752154024466e+02 2.419721417969633859e-01 2.753842835568828473e+00 2.156995093065164681e+00 3.198998667265406937e+00 1.369599089341047016e+00 1.106319549678366876e+00 1.656993836296074329e+00 4.309578516999653108e-01 2.163983366235176842e+00 2.492060112404240968e+00 2.312183609501644366e+00 1.945950041863063307e+00 2.424519848760304352e+00
1.427837598533620898e-56 -4.020759185851879920e+02 1.701733659752006356e-01 9.577773078643828653e-01 1.899545629679738612e+00 1.231232850601408302e+00 2.068351570985271781e-02 2.645455107871629519e+00 2.185664198450544049e+00 1.569335522259202254e+00 3.072726107265615347e+00 1.845111249138114973e+00 2.838884355565724160e+00 7.384138763608157907e-01 2.351563284858681158e+00
4.007276269938320676e-56 -4.010414679400160480e+02 2.126212496716988476e-01 1.789009524557870767e+00 2.126131391188937236e+00 7.144921503412732244e-01 5.266038584000911627e-01 8.040480687742428412e-01 1.094915323358014003e+00 2.149219402992966099e+00 1.102582406713084717e+00 6.084913776870556346e-01 9.699121232976127827e-01 2.354988878639085570e+00 1.332488566083633419e+00
7.061822638874644285e-56 -4.004723765337878945e+02 3.263941538890501870e-01 3.150572679299623147e+00 2.439063495438150042e+00 5.874793084426143119e-01 1.524912727134108303e+00 2.572430000275751638e+00 3.085749344798345728e+00 3.361366611723108022e+00 1.012124924256603720e+00 1.370697093807912603e+00 9.520742568169564546e-01 2.517833629922098471e+00 3.202297822528382132e-01
7.288105384923764163e-56 -4.004383360962069673e+02 3.394138356593356054e+00 3.169402777558512518e+00 6.712675637122018646e-01 6.584296857366633837e-01 3.930223121348841997e-01 1.064023406859391008e+00 9.535876218962503481e-01 2.284384802650607948e+00 2.031191548697909077e+00 6.176404755175425310e-01 3.322855002383143574e+00 2.474209447240527826e+00 2.854368806922615853e+00
8.576009079578374262e-56 -4.002731110530735918e+02 3.093996179613448305e+00 3.295492689256830587e+00 3.356102932620973700e+00 3.238341872287457957e+00 7.328235729106150620e-01 4.559468965591709222e-01 3.245765469033531136e+00 1.281616640731905843e+00 1.680534680437465900e+00 1.869004200262275095e+00 8.302223054041818484e-01 1.818587779966968299e+00 2.424186606893975693e+00
1.021691436858694067e-55 -4.000955350978146043e+02 3.170809682275743668e+00 3.188848719719953095e+00 3.239559803468613719e+00 6.355710474405799060e-01 2.480062387569006432e+00 2.527711013171663357e+00 8.445877712511852264e-01 3.079877014318788575e+00 6.992465761479116360e-01 1.009181261115836392e+00 1.262399462483464241e+00 4.239615882506865829e-01 3.209623462119929105e+00
1.375627578625231057e-55 -3.997955845753183439e+02 2.929681244551159747e+00 3.245879760593268326e+00 2.724442219240525098e+00 9.988194028373916789e-01 2.633418256054755324e-01 1.688725310129278734e+00 6.735040395050460038e-01 1.106509589173920283e+00 8.446010698984547371e-01 2.556086907018883192e+00 4.480454702387933197e-01 1.244255821115673122e+00 2.098006308785167029e+00
1.513322576938223726e-55 -3.996976870075170609e+02 3.121387087194245957e+00 3.098610638130920858e+00 1.029526699456540184e+00 7.509351099911600047e-02 1.071834950827908584e+00 6.958162535220672185e-01 1.644603624028477595e+00 2.723055494668202403e+00 6.620801351467457962e-01 1.714577520864962068e+00 3.022742884018836840e+00 9.154880788402238734e-01 6.740932522459425202e-01
1.627015181330532046e-55 -3.996227474640604100e+02 3.544547669156304370e-01 3.152331862608133140e+00 5.557751603478816582e-01 3.268301831221134268e+00 1.303364989416517572e+00 2.624341122237825452e+00 4.344805066445417974e-01 1.668910785186791923e+00 1.635070899619316620e+00 4.567124611307801230e-01 2.456835942399308248e+00 1.481382082953095702e+00 2.389268539652056600e-01
1.772075669392506192e-55 -3.995348430690382884e+02 2.619501510316403436e+00 3.371599216852290137e+00 2.582304803769716717e+00 2.724453544854081866e+00 4.985985692632679545e-01 5.216611766132017713e-01 2.245659730681823785e+00 1.614531043695039303e+00 6.551734898315911826e-01 1.013290484238655420e+00 1.583068367831779621e+00 1.787117310357526190e+00 3.114858146793171301e+00
1.889656682680322291e-55 -3.994680994599310679e+02 2.722148924891242938e+00 3.284155482737632248e+00 3.183720756868357871e+00 9.640382246838895552e-01 3.067147529857317423e+00 1.737600798846637762e+00 1.612063544424980899e+00 8.823184991969499347e-01 2.181749054121124853e+00 5.928517932979653349e-01 1.123661152112602535e+00 1.033721363929334253e-01 1.745998773263661485e+00
2.200130225098495559e-55 -3.993134780712878751e+02 3.318656339528039290e+00 2.882620424303447226e+00 1.412135600927821866e+00 1.146130988486832480e+00 1.434143563667029109e-01 2.335001385841127597e+00 1.507402844545852050e+00 1.777200944037647501e+00 7.283137960431361746e-01 1.070768231192782416e+00 1.167297937395700869e+00 6.559622404549587671e-01 2.723926015927063737e+00
2.276661688641879815e-55 -3.992767844247555900e+02 3.225835722779642811e+00 2.925485828748992212e+00 2.638226576907364063e+00 1.566086329136626501e-02 9.803242451873572794e-01 1.590893232482661457e+00 1.527168837592525641e+00 1.521230685581272501e+00 1.896493074193055239e+00 1.454781592412584423e+00 2.348426843798890662e+00 1.197519709276193695e-01 1.849410615653316103e+00
