weight logl alpha_gluon beta_gluon alpha_up beta_up epsilon_up gamma_up alpha_down beta_down epsilon_down gamma_down norm_sigma alpha_sigma beta_sigma
9.041975839003416244e-110 -5.246297970210159747e+02 5.180072396878676599e-04 7.545662935472641220e-02 9.825332365531030954e-01 9.127713326150305173e-01 1.614779378210319249e-01 5.749374839748515598e-01 1.991990378008814400e-01 1.916454982875573920e-01 7.386296305698047959e-02 8.804333438810281187e-01 4.387626380707215779e-01 5.182965934492054227e-01 5.354545525759617508e-01
5.594643575252258740e-80 -4.560298123123984624e+02 6.597196894067902662e-03 2.183042404931128111e-01 1.496473411409452448e-01 9.894243286055005582e-01 1.041805906164315898e-01 1.810489613999399783e-02 1.374623475366304470e-01 3.948401549315160297e-01 3.637280821278592313e-01 9.763352630797719200e-01 4.413704740217028188e-01 5.512450750536722621e-01 3.007905498751919371e-01
2.467062529095438092e-79 -4.545435086715498869e+02 1.432776489832265909e-02 1.635967148833070706e-01 7.968623236327160297e-01 5.747681044684681551e-01 1.845027005124708630e-01 8.663608411056644698e-01 2.831769923839067005e-02 6.344866158547579627e-01 4.913513700240490500e-02 4.852808755449621314e-01 3.550618068498967439e-02 5.518059331765169384e-01 7.517883864375246583e-01
4.092076038160238105e-71 -4.356143036809643263e+02 3.184146428554801567e-02 1.271887249507340778e-01 7.264411843777214273e-01 4.988264055853193213e-01 8.231322322743059861e-01 4.598504800067826359e-01 3.325934705498390098e-01 4.589838390189117101e-01 4.599553402118778944e-01 3.495462766784570574e-01 2.290470159958535312e-01 3.257848044046176561e-01 5.288071722653527873e-01
4.318992839026940191e-70 -4.332552487820768761e+02 1.375995125463580493e-02 3.643777549153045525e-01 9.770264757750707352e-01 6.218394879413186027e-01 7.434205273150542581e-01 8.030497720955611651e-01 7.343728362156279887e-01 2.345656225061246714e-01 6.577560924202320303e-01 1.119275015285599029e-01 3.836052284906836807e-01 1.398710112311363218e-02 5.602958140027992640e-01
2.458410403146645591e-69 -4.315136709615446193e+02 4.839390299784251948e-02 7.080641155492262140e-02 9.982131077291763743e-01 6.696176579701887954e-01 8.930832994119809465e-01 9.006438808478743896e-01 6.668115454767317152e-01 4.557714068923119921e-01 1.751015967688537289e-01 5.424610206436268900e-01 8.952220938838640896e-01 1.979547208177385720e-01 5.110092977459209651e-01
4.474027271968103343e-68 -4.286098118733434035e+02 3.926211911132404531e-03 6.182576442395407712e-01 3.480970438418841129e-01 5.329845448095104077e-01 4.280659310727485956e-02 5.057916121776856455e-01 9.121511448584525006e-01 8.269437098162708555e-01 6.259368158194921206e-01 2.111145416208398684e-01 6.018284903942111574e-01 6.324529429196878993e-01 4.431566204801786757e-01
5.159526598107807275e-68 -4.284647560013175394e+02 2.494914848631091253e-02 2.406873441642989331e-01 1.289914622906951358e-02 7.463166324911859606e-01 1.765765837442174746e-01 3.986258651274354747e-02 1.063786958533188276e-01 1.166944960241279583e-01 5.062597967840587465e-02 8.390192756695590282e-01 2.985088434323203144e-01 3.079377109406005175e-01 6.894623298109494591e-01
1.250107559830240377e-67 -4.275772861435789309e+02 1.961307375359777616e-02 3.682292427144606695e-01 3.826283169002097084e-01 8.318773297148793766e-01 6.755360447270143398e-01 8.769592828169925358e-01 7.237764424205538338e-01 6.627468031061922726e-02 3.957805621512512362e-01 2.923145513277016772e-01 8.988083182258763681e-01 6.124345480127099117e-01 3.214743519054805709e-01
6.591949971560146472e-67 -4.259121665357428128e+02 1.654451023943370735e-02 4.813845004387432569e-01 9.593887396808731260e-02 4.973063326089399716e-01 8.387962736964043042e-01 8.973332573947034874e-01 7.325915194769594407e-01 7.587243640135210576e-01 5.606571828751971687e-01 4.714779273537279547e-01 1.387681177820346834e-01 9.446113331332373075e-02 9.422563386389352091e-01
5.963423287251857221e-65 -4.214047008598257662e+02 2.426485690778057425e-02 4.476475147953812295e-01 8.355447918144994768e-01 8.976734170148177316e-01 3.711290760110577125e-01 2.082086733125668720e-01 8.256891382531269530e-01 9.048643219137858518e-01 7.328517150553721660e-01 9.013600036410303051e-01 9.838660623669237548e-02 9.535045029347088974e-01 5.200563646017846153e-01
9.369576482620383749e-65 -4.209503776571319804e+02 5.173866872851040632e-03 8.103205251730192238e-01 5.997508725385531925e-01 5.524375232474132424e-02 5.047803847793882470e-01 8.802102421662001408e-01 6.709717211410531901e-01 8.138310256103954421e-01 8.315218440348491891e-01 3.134943097777842524e-04 5.687217913145610204e-01 8.256010285005696003e-01 5.852266599528962443e-01
2.795317331599741949e-64 -4.198548148244548202e+02 2.538058712755764113e-02 4.840801690588679707e-01 7.621573288158132176e-01 7.316137492998452396e-01 9.245498475687732309e-01 2.812587833485873379e-01 7.947090262148543971e-01 4.419602575436269998e-01 8.772120461464807395e-01 3.313430685882177151e-01 6.040083557233613121e-01 3.366113415752461924e-01 6.897819015158980216e-01
1.199105959087996436e-63 -4.183960991220544656e+02 1.860635464040738540e-02 7.073882029426076246e-01 2.793122393668295844e-01 7.018613228580808938e-01 3.593886891524217253e-01 7.081652540863881962e-01 2.079478127273147736e-01 9.642999189481626932e-01 9.769144217599808888e-01 2.501284251246352897e-01 1.040501843142945804e-01 3.204486736128466795e-01 8.960858309472549132e-01
2.672663154893299044e-61 -4.129869297694984311e+02 1.898413209037219662e-02 9.824430156812792303e-01 2.753831627647470581e-01 7.219702085827081062e-01 7.172988843933614245e-01 9.547130880002929754e-01 8.893969370866284807e-01 2.367363722991704389e-01 4.401897542842679867e-01 8.462361502354344145e-01 7.378462222345210098e-01 8.658724141309459554e-01 7.455609115483429195e-01
3.517740455260436974e-59 -4.081045161277286297e+02 4.567191117114477450e-02 4.911946361403360939e-01 8.489381366525278194e-01 9.739508495497961604e-01 2.864595369545109849e-01 1.239800004500635211e-02 8.478602785723798885e-02 2.549960900391015084e-01 9.200696349747475855e-01 4.148022966953552881e-01 7.747998629499148748e-01 8.971527219887287519e-01 1.358210871883349657e-01
9.467147945976053303e-59 -4.071120073005326390e+02 4.915598905258788953e-02 9.700743977728626399e-01 5.597922987611735346e-01 5.602157313318556486e-01 1.280282563442061150e-01 5.914013666511983569e-01 9.489022850964491385e-01 3.995272107986013177e-01 5.826274444472167025e-01 6.484245183168902971e-01 6.714466944194449338e-01 5.684314898382232251e-01 8.331517979072674551e-01
1.195371638027971502e-57 -4.045737076779145127e+02 6.454705632985513475e-02 9.126504940156858758e-01 5.077803363709786355e-01 7.359500012599641261e-01 9.050432637337818553e-01 6.770124260484209344e-01 8.796374802200035425e-01 5.736927451829176849e-02 8.992167281096627995e-01 9.592770170973453636e-01 3.543946791651293449e-01 7.408700471892818440e-01 6.906427770288774415e-01
1.412568387130034251e-57 -4.044042552105812547e+02 5.571633992402869051e-02 5.647314710497418622e-01 3.315827676409094371e-01 5.582776328546479316e-01 2.867778410089139030e-02 4.973612017517341499e-01 1.661847487181706828e-01 2.087930079752299273e-01 4.497276735801455372e-01 6.446512587931420013e-01 2.425646714966590567e-01 9.872471138924002743e-01 8.268927389315018361e-01
2.459782734426837560e-57 -4.038470917824097910e+02 7.056213026016422418e-02 9.614040506828959165e-01 8.312054362607979030e-01 3.459397229418610387e-01 6.004847324264536157e-01 8.047922658606997404e-01 8.432434330594340555e-01 3.808699137187199213e-02 1.053218640508695181e-01 9.989288012298073172e-01 9.836243467961514053e-02 9.505379102918493084e-01 9.944597713189481381e-01
2.836767900654123236e-57 -4.037019994681774619e+02 7.214909734682661835e-02 9.783550170555397330e-01 5.529704233746771669e-01 9.188265651750022744e-01 7.061181180727396089e-01 6.118896584567243835e-01 3.959533134465644810e-01 5.265703697762302848e-02 7.827625835769773666e-01 1.399070811016955851e-01 9.138532696888295170e-01 9.244104619864033090e-01 3.709747669937210057e-01
3.940745980956072201e-57 -4.033707947684587793e+02 5.693314705087970662e-02 1.128462898041781015e-01 6.749795640476937697e-01 9.535038216251517929e-01 9.795350933162173535e-01 9.847945363119062767e-01 1.116801687466607573e-01 4.122102076422281547e-01 9.719520262657584952e-01 3.117519866721618627e-01 4.441340828015128972e-01 9.895430161361802313e-01 5.204524857362413659e-02
5.401757735168862599e-57 -4.030529404019977733e+02 6.008498537472262147e-02 5.831278609846526351e-01 6.732080097025990861e-01 4.927219541129633784e-01 2.521001997284015861e-01 3.452221437274145543e-01 6.811196196021370719e-01 3.274935020836562405e-01 3.779757128792022858e-01 2.502619538554765599e-01 6.467323835819172029e-01 6.364399830615341536e-02 3.748662597535431518e-01
